,Topic
37894,Heart Failure
38890,Stroke
37737,Heart Failure
3758,Major Cardiovascular Disease
42072,Stroke
1718,Major Cardiovascular Disease
23765,Heart Failure
31602,Heart Failure
37989,Heart Failure
10452,Acute Myocardial Infarction (Heart Attack)
33931,Heart Failure
29076,Heart Failure
42416,Stroke
18559,Heart Failure
36872,Heart Failure
37024,Heart Failure
23006,Heart Failure
11928,Acute Myocardial Infarction (Heart Attack)
7205,Diseases of the Heart (Heart Disease)
23139,Heart Failure
4193,Major Cardiovascular Disease
36534,Heart Failure
8862,Acute Myocardial Infarction (Heart Attack)
16565,Coronary Heart Disease
37667,Heart Failure
20330,Heart Failure
36957,Stroke
25730,Heart Failure
32494,Heart Failure
11501,Acute Myocardial Infarction (Heart Attack)
4875,Major Cardiovascular Disease
16014,Coronary Heart Disease
8329,Diseases of the Heart (Heart Disease)
27921,Heart Failure
26601,Heart Failure
16797,Coronary Heart Disease
21808,Heart Failure
20592,Heart Failure
28632,Heart Failure
37933,Heart Failure
11053,Acute Myocardial Infarction (Heart Attack)
35443,Heart Failure
23518,Heart Failure
41809,Stroke
32358,Heart Failure
40829,Stroke
37076,Heart Failure
17496,Coronary Heart Disease
28571,Heart Failure
4670,Diseases of the Heart (Heart Disease)
8998,Acute Myocardial Infarction (Heart Attack)
13517,Coronary Heart Disease
22069,Heart Failure
1916,Major Cardiovascular Disease
20242,Heart Failure
24858,Heart Failure
40284,Stroke
32443,Heart Failure
10756,Acute Myocardial Infarction (Heart Attack)
24187,Heart Failure
902,Major Cardiovascular Disease
24131,Heart Failure
29715,Heart Failure
27536,Heart Failure
21735,Heart Failure
23623,Heart Failure
30164,Heart Failure
16488,Coronary Heart Disease
4941,Diseases of the Heart (Heart Disease)
14290,Acute Myocardial Infarction (Heart Attack)
36048,Heart Failure
38957,Stroke
19547,Heart Failure
42508,Stroke
28681,Heart Failure
967,Major Cardiovascular Disease
34218,Heart Failure
22385,Heart Failure
41606,Stroke
18875,Heart Failure
34742,Heart Failure
24301,Heart Failure
29080,Heart Failure
26225,Heart Failure
27011,Heart Failure
24222,Heart Failure
10572,Acute Myocardial Infarction (Heart Attack)
12613,Acute Myocardial Infarction (Heart Attack)
11014,Acute Myocardial Infarction (Heart Attack)
1120,Major Cardiovascular Disease
20176,Heart Failure
33935,Heart Failure
6307,Diseases of the Heart (Heart Disease)
34800,Heart Failure
22819,Heart Failure
41680,Stroke
6021,Diseases of the Heart (Heart Disease)
39680,Stroke
19577,Coronary Heart Disease
18895,Heart Failure
19058,Heart Failure
16407,Coronary Heart Disease
36430,Stroke
37230,Heart Failure
19784,Heart Failure
27172,Heart Failure
15355,Acute Myocardial Infarction (Heart Attack)
21612,Heart Failure
13657,Coronary Heart Disease
3295,Major Cardiovascular Disease
33255,Heart Failure
19420,Coronary Heart Disease
11789,Acute Myocardial Infarction (Heart Attack)
10892,Acute Myocardial Infarction (Heart Attack)
7750,Diseases of the Heart (Heart Disease)
34998,Heart Failure
15396,Coronary Heart Disease
10185,Diseases of the Heart (Heart Disease)
3265,Major Cardiovascular Disease
13072,Acute Myocardial Infarction (Heart Attack)
19033,Heart Failure
35566,Heart Failure
31891,Heart Failure
34691,Heart Failure
35216,Heart Failure
23595,Stroke
789,Major Cardiovascular Disease
13253,Acute Myocardial Infarction (Heart Attack)
21935,Heart Failure
22282,Heart Failure
6964,Diseases of the Heart (Heart Disease)
32276,Heart Failure
41858,Stroke
41723,Stroke
29056,Heart Failure
36882,Heart Failure
25601,Heart Failure
27994,Heart Failure
31259,Heart Failure
11895,Acute Myocardial Infarction (Heart Attack)
39153,Stroke
5395,Diseases of the Heart (Heart Disease)
17265,Coronary Heart Disease
17278,Coronary Heart Disease
38072,Heart Failure
9684,Acute Myocardial Infarction (Heart Attack)
27156,Heart Failure
39471,Stroke
17086,Coronary Heart Disease
41071,Stroke
31567,Heart Failure
25651,Heart Failure
14894,Acute Myocardial Infarction (Heart Attack)
17477,Coronary Heart Disease
7790,Diseases of the Heart (Heart Disease)
1324,Major Cardiovascular Disease
20785,Heart Failure
29976,Heart Failure
35303,Heart Failure
24298,Heart Failure
40344,Stroke
25966,Heart Failure
26598,Heart Failure
40735,Stroke
23920,Heart Failure
34519,Heart Failure
18897,Heart Failure
29911,Heart Failure
28792,Heart Failure
19362,Coronary Heart Disease
27287,Heart Failure
24441,Heart Failure
26318,Heart Failure
36385,Heart Failure
9388,Acute Myocardial Infarction (Heart Attack)
36433,Heart Failure
15267,Coronary Heart Disease
21109,Heart Failure
9656,Diseases of the Heart (Heart Disease)
21031,Heart Failure
15907,Coronary Heart Disease
40045,Stroke
21576,Heart Failure
34427,Heart Failure
32861,Heart Failure
22503,Heart Failure
35506,Heart Failure
39606,Stroke
19125,Heart Failure
2860,Major Cardiovascular Disease
23986,Heart Failure
26879,Heart Failure
62,Major Cardiovascular Disease
32629,Heart Failure
23790,Heart Failure
8648,Diseases of the Heart (Heart Disease)
34873,Heart Failure
12451,Acute Myocardial Infarction (Heart Attack)
135,Major Cardiovascular Disease
7044,Diseases of the Heart (Heart Disease)
33907,Heart Failure
17819,Heart Failure
1377,Major Cardiovascular Disease
11849,Acute Myocardial Infarction (Heart Attack)
37573,Heart Failure
12478,Acute Myocardial Infarction (Heart Attack)
36561,Stroke
36464,Stroke
22355,Heart Failure
11757,Acute Myocardial Infarction (Heart Attack)
34547,Heart Failure
20877,Heart Failure
9472,Acute Myocardial Infarction (Heart Attack)
19938,Coronary Heart Disease
2487,Major Cardiovascular Disease
38905,Stroke
31953,Heart Failure
34189,Heart Failure
21403,Heart Failure
14563,Acute Myocardial Infarction (Heart Attack)
28990,Heart Failure
5233,Diseases of the Heart (Heart Disease)
23457,Heart Failure
8325,Diseases of the Heart (Heart Disease)
22235,Heart Failure
41263,Stroke
9770,Acute Myocardial Infarction (Heart Attack)
26923,Heart Failure
1972,Major Cardiovascular Disease
35737,Heart Failure
38826,Stroke
38719,Stroke
30604,Heart Failure
3497,Major Cardiovascular Disease
41266,Stroke
13771,Acute Myocardial Infarction (Heart Attack)
4437,Diseases of the Heart (Heart Disease)
24535,Heart Failure
30632,Heart Failure
35078,Heart Failure
4970,Major Cardiovascular Disease
22324,Heart Failure
31513,Heart Failure
28867,Heart Failure
36828,Stroke
33296,Heart Failure
22141,Heart Failure
1215,Major Cardiovascular Disease
2536,Major Cardiovascular Disease
4968,Diseases of the Heart (Heart Disease)
7199,Diseases of the Heart (Heart Disease)
12414,Acute Myocardial Infarction (Heart Attack)
1855,Major Cardiovascular Disease
6700,Diseases of the Heart (Heart Disease)
40962,Stroke
37981,Heart Failure
38460,Heart Failure
11831,Acute Myocardial Infarction (Heart Attack)
18727,Coronary Heart Disease
28834,Heart Failure
17662,Coronary Heart Disease
9077,Acute Myocardial Infarction (Heart Attack)
30499,Heart Failure
18523,Heart Failure
27934,Heart Failure
4340,Diseases of the Heart (Heart Disease)
10082,Acute Myocardial Infarction (Heart Attack)
4791,Diseases of the Heart (Heart Disease)
19844,Coronary Heart Disease
22839,Heart Failure
35821,Heart Failure
34733,Heart Failure
25416,Heart Failure
33207,Heart Failure
3379,Major Cardiovascular Disease
26828,Heart Failure
5198,Major Cardiovascular Disease
12615,Acute Myocardial Infarction (Heart Attack)
27569,Heart Failure
9409,Acute Myocardial Infarction (Heart Attack)
34739,Heart Failure
388,Major Cardiovascular Disease
32112,Heart Failure
14807,Coronary Heart Disease
22301,Heart Failure
25700,Heart Failure
22531,Heart Failure
11721,Acute Myocardial Infarction (Heart Attack)
10170,Diseases of the Heart (Heart Disease)
15381,Coronary Heart Disease
18775,Coronary Heart Disease
24502,Heart Failure
24525,Heart Failure
42233,Stroke
27759,Heart Failure
1083,Major Cardiovascular Disease
4984,Diseases of the Heart (Heart Disease)
15319,Acute Myocardial Infarction (Heart Attack)
13312,Coronary Heart Disease
2803,Major Cardiovascular Disease
39108,Stroke
21765,Heart Failure
39328,Stroke
13099,Acute Myocardial Infarction (Heart Attack)
30593,Heart Failure
12311,Acute Myocardial Infarction (Heart Attack)
3929,Major Cardiovascular Disease
17130,Coronary Heart Disease
30782,Heart Failure
11060,Acute Myocardial Infarction (Heart Attack)
12044,Acute Myocardial Infarction (Heart Attack)
25596,Heart Failure
29299,Heart Failure
15094,Coronary Heart Disease
5898,Diseases of the Heart (Heart Disease)
9635,Acute Myocardial Infarction (Heart Attack)
26271,Heart Failure
32489,Heart Failure
10621,Acute Myocardial Infarction (Heart Attack)
13279,Acute Myocardial Infarction (Heart Attack)
8096,Diseases of the Heart (Heart Disease)
129,Major Cardiovascular Disease
30150,Heart Failure
7515,Diseases of the Heart (Heart Disease)
12056,Acute Myocardial Infarction (Heart Attack)
35360,Heart Failure
23988,Heart Failure
14549,Acute Myocardial Infarction (Heart Attack)
24671,Heart Failure
27988,Heart Failure
13581,Acute Myocardial Infarction (Heart Attack)
22511,Heart Failure
10321,Diseases of the Heart (Heart Disease)
3395,Major Cardiovascular Disease
42471,Stroke
30826,Heart Failure
22286,Heart Failure
18044,Heart Failure
37388,Heart Failure
40422,Stroke
11477,Acute Myocardial Infarction (Heart Attack)
19241,Coronary Heart Disease
8298,Diseases of the Heart (Heart Disease)
17138,Coronary Heart Disease
38465,Stroke
33647,Heart Failure
40708,Stroke
22078,Heart Failure
7070,Diseases of the Heart (Heart Disease)
6319,Diseases of the Heart (Heart Disease)
18064,Heart Failure
17595,Coronary Heart Disease
27560,Heart Failure
30229,Heart Failure
36261,Heart Failure
35464,Heart Failure
3476,Major Cardiovascular Disease
3281,Major Cardiovascular Disease
15814,Coronary Heart Disease
2055,Major Cardiovascular Disease
35950,Heart Failure
28183,Heart Failure
9912,Diseases of the Heart (Heart Disease)
3729,Major Cardiovascular Disease
34807,Heart Failure
37339,Heart Failure
13619,Acute Myocardial Infarction (Heart Attack)
12729,Acute Myocardial Infarction (Heart Attack)
7182,Diseases of the Heart (Heart Disease)
2598,Major Cardiovascular Disease
36503,Heart Failure
25208,Heart Failure
18057,Coronary Heart Disease
15213,Coronary Heart Disease
7936,Diseases of the Heart (Heart Disease)
26716,Heart Failure
22593,Heart Failure
14356,Acute Myocardial Infarction (Heart Attack)
25500,Heart Failure
3023,Major Cardiovascular Disease
18540,Heart Failure
36374,Heart Failure
20520,Heart Failure
18147,Heart Failure
22584,Heart Failure
15502,Acute Myocardial Infarction (Heart Attack)
42596,Stroke
13060,Acute Myocardial Infarction (Heart Attack)
21807,Heart Failure
881,Major Cardiovascular Disease
39937,Stroke
30884,Heart Failure
8907,Acute Myocardial Infarction (Heart Attack)
16823,Coronary Heart Disease
19007,Coronary Heart Disease
38605,Stroke
24363,Heart Failure
36496,Heart Failure
16179,Coronary Heart Disease
1450,Major Cardiovascular Disease
19836,Heart Failure
16189,Coronary Heart Disease
14418,Acute Myocardial Infarction (Heart Attack)
7412,Diseases of the Heart (Heart Disease)
16580,Coronary Heart Disease
670,Major Cardiovascular Disease
22251,Heart Failure
4198,Major Cardiovascular Disease
589,Major Cardiovascular Disease
35809,Heart Failure
15936,Coronary Heart Disease
30878,Heart Failure
36617,Heart Failure
19940,Heart Failure
38040,Heart Failure
18456,Coronary Heart Disease
16424,Coronary Heart Disease
15008,Acute Myocardial Infarction (Heart Attack)
1266,Major Cardiovascular Disease
14840,Acute Myocardial Infarction (Heart Attack)
21454,Heart Failure
14445,Coronary Heart Disease
17050,Coronary Heart Disease
6101,Diseases of the Heart (Heart Disease)
10388,Acute Myocardial Infarction (Heart Attack)
28634,Heart Failure
22965,Heart Failure
36243,Heart Failure
7123,Diseases of the Heart (Heart Disease)
13734,Coronary Heart Disease
21999,Heart Failure
21273,Heart Failure
29775,Heart Failure
38608,Stroke
16884,Coronary Heart Disease
19303,Heart Failure
33232,Heart Failure
2190,Major Cardiovascular Disease
4396,Diseases of the Heart (Heart Disease)
20430,Heart Failure
9826,Diseases of the Heart (Heart Disease)
30871,Heart Failure
8561,Diseases of the Heart (Heart Disease)
31421,Heart Failure
18590,Heart Failure
751,Major Cardiovascular Disease
7760,Diseases of the Heart (Heart Disease)
24412,Heart Failure
21442,Heart Failure
40959,Stroke
37693,Heart Failure
10514,Acute Myocardial Infarction (Heart Attack)
12776,Acute Myocardial Infarction (Heart Attack)
29596,Heart Failure
18885,Coronary Heart Disease
9887,Diseases of the Heart (Heart Disease)
30978,Heart Failure
27621,Heart Failure
13937,Coronary Heart Disease
24316,Heart Failure
21523,Heart Failure
42609,Stroke
42022,Stroke
19294,Coronary Heart Disease
13449,Coronary Heart Disease
27648,Heart Failure
35604,Heart Failure
16652,Coronary Heart Disease
17639,Coronary Heart Disease
31508,Heart Failure
36663,Heart Failure
8372,Diseases of the Heart (Heart Disease)
13124,Acute Myocardial Infarction (Heart Attack)
18735,Coronary Heart Disease
20229,Heart Failure
35808,Heart Failure
23497,Heart Failure
24728,Heart Failure
29038,Heart Failure
23409,Heart Failure
41393,Stroke
37472,Heart Failure
29584,Heart Failure
36390,Heart Failure
42170,Stroke
9387,Diseases of the Heart (Heart Disease)
23405,Heart Failure
39995,Stroke
41311,Stroke
4353,Diseases of the Heart (Heart Disease)
28144,Heart Failure
16235,Coronary Heart Disease
24947,Heart Failure
29732,Heart Failure
17949,Coronary Heart Disease
6222,Diseases of the Heart (Heart Disease)
37017,Heart Failure
7613,Diseases of the Heart (Heart Disease)
35986,Heart Failure
18743,Heart Failure
7994,Diseases of the Heart (Heart Disease)
22466,Heart Failure
24350,Heart Failure
38801,Stroke
29535,Heart Failure
37591,Stroke
22970,Heart Failure
25659,Heart Failure
35969,Heart Failure
15222,Acute Myocardial Infarction (Heart Attack)
15767,Coronary Heart Disease
28377,Heart Failure
32471,Heart Failure
17473,Coronary Heart Disease
40040,Stroke
36951,Heart Failure
24342,Heart Failure
32586,Heart Failure
8410,Diseases of the Heart (Heart Disease)
22522,Heart Failure
4233,Major Cardiovascular Disease
16460,Coronary Heart Disease
20501,Heart Failure
5298,Diseases of the Heart (Heart Disease)
19063,Coronary Heart Disease
22431,Heart Failure
33719,Heart Failure
11796,Acute Myocardial Infarction (Heart Attack)
29754,Heart Failure
9152,Acute Myocardial Infarction (Heart Attack)
27370,Heart Failure
32074,Heart Failure
41895,Stroke
40969,Stroke
22438,Heart Failure
28344,Heart Failure
37391,Stroke
14266,Acute Myocardial Infarction (Heart Attack)
27770,Heart Failure
36027,Heart Failure
41814,Stroke
4178,Major Cardiovascular Disease
18142,Coronary Heart Disease
23482,Heart Failure
33927,Heart Failure
35279,Heart Failure
30811,Heart Failure
34357,Heart Failure
8077,Diseases of the Heart (Heart Disease)
9365,Diseases of the Heart (Heart Disease)
9978,Diseases of the Heart (Heart Disease)
34131,Heart Failure
23519,Heart Failure
4158,Major Cardiovascular Disease
41187,Stroke
18236,Coronary Heart Disease
38405,Heart Failure
15825,Coronary Heart Disease
33306,Heart Failure
7815,Diseases of the Heart (Heart Disease)
34752,Heart Failure
30853,Heart Failure
28201,Heart Failure
2128,Major Cardiovascular Disease
33983,Heart Failure
12250,Acute Myocardial Infarction (Heart Attack)
26357,Heart Failure
12002,Acute Myocardial Infarction (Heart Attack)
3804,Major Cardiovascular Disease
21417,Heart Failure
13033,Acute Myocardial Infarction (Heart Attack)
20855,Heart Failure
16975,Coronary Heart Disease
7552,Diseases of the Heart (Heart Disease)
14892,Coronary Heart Disease
9830,Diseases of the Heart (Heart Disease)
25410,Heart Failure
32548,Heart Failure
15769,Coronary Heart Disease
13916,Coronary Heart Disease
5714,Major Cardiovascular Disease
38396,Heart Failure
22395,Heart Failure
28874,Heart Failure
18614,Coronary Heart Disease
13787,Coronary Heart Disease
22032,Heart Failure
39493,Stroke
33330,Heart Failure
19346,Coronary Heart Disease
452,Major Cardiovascular Disease
23810,Heart Failure
41439,Stroke
22021,Heart Failure
18879,Heart Failure
21213,Heart Failure
18480,Heart Failure
26382,Heart Failure
26561,Heart Failure
23248,Heart Failure
15353,Acute Myocardial Infarction (Heart Attack)
17492,Coronary Heart Disease
17276,Coronary Heart Disease
31652,Heart Failure
37231,Heart Failure
33499,Heart Failure
22892,Heart Failure
5990,Diseases of the Heart (Heart Disease)
19912,Coronary Heart Disease
28521,Heart Failure
33503,Heart Failure
21949,Heart Failure
22808,Heart Failure
21618,Heart Failure
2554,Major Cardiovascular Disease
6078,Diseases of the Heart (Heart Disease)
8705,Acute Myocardial Infarction (Heart Attack)
38813,Stroke
38586,Stroke
1255,Major Cardiovascular Disease
41989,Stroke
26736,Heart Failure
20517,Heart Failure
1403,Major Cardiovascular Disease
22577,Heart Failure
41907,Stroke
23259,Heart Failure
30697,Heart Failure
27419,Heart Failure
12847,Acute Myocardial Infarction (Heart Attack)
31452,Heart Failure
9395,Acute Myocardial Infarction (Heart Attack)
21291,Heart Failure
22363,Heart Failure
22227,Heart Failure
32704,Heart Failure
26463,Heart Failure
22984,Heart Failure
15916,Coronary Heart Disease
39540,Stroke
36410,Heart Failure
10363,Diseases of the Heart (Heart Disease)
20353,Heart Failure
3725,Major Cardiovascular Disease
33072,Heart Failure
10221,Acute Myocardial Infarction (Heart Attack)
22318,Heart Failure
38742,Stroke
33756,Heart Failure
3718,Major Cardiovascular Disease
18751,Heart Failure
37453,Heart Failure
17766,Coronary Heart Disease
30644,Heart Failure
27692,Heart Failure
13443,Coronary Heart Disease
9417,Acute Myocardial Infarction (Heart Attack)
7027,Diseases of the Heart (Heart Disease)
36849,Heart Failure
31418,Heart Failure
3213,Major Cardiovascular Disease
32922,Heart Failure
21652,Heart Failure
10209,Acute Myocardial Infarction (Heart Attack)
30794,Heart Failure
28014,Heart Failure
10823,Diseases of the Heart (Heart Disease)
15786,Coronary Heart Disease
13261,Acute Myocardial Infarction (Heart Attack)
25735,Heart Failure
18874,Coronary Heart Disease
32989,Heart Failure
9244,Acute Myocardial Infarction (Heart Attack)
13058,Acute Myocardial Infarction (Heart Attack)
26981,Heart Failure
33023,Heart Failure
36355,Heart Failure
25805,Heart Failure
9321,Diseases of the Heart (Heart Disease)
31578,Heart Failure
40450,Stroke
27061,Heart Failure
30829,Heart Failure
1539,Major Cardiovascular Disease
25215,Heart Failure
5181,Diseases of the Heart (Heart Disease)
27404,Heart Failure
34317,Heart Failure
2286,Major Cardiovascular Disease
38016,Stroke
41856,Stroke
32355,Heart Failure
38933,Stroke
16216,Coronary Heart Disease
28367,Heart Failure
2818,Major Cardiovascular Disease
13106,Acute Myocardial Infarction (Heart Attack)
5883,Diseases of the Heart (Heart Disease)
24772,Heart Failure
22374,Heart Failure
17293,Coronary Heart Disease
15258,Acute Myocardial Infarction (Heart Attack)
27022,Heart Failure
3991,Major Cardiovascular Disease
19888,Heart Failure
37569,Heart Failure
1244,Major Cardiovascular Disease
16707,Coronary Heart Disease
11055,Acute Myocardial Infarction (Heart Attack)
34826,Heart Failure
31155,Heart Failure
23081,Heart Failure
41453,Stroke
31734,Heart Failure
17613,Coronary Heart Disease
7737,Diseases of the Heart (Heart Disease)
30067,Heart Failure
3057,Major Cardiovascular Disease
15744,Coronary Heart Disease
38422,Stroke
37592,Heart Failure
22811,Heart Failure
19686,Heart Failure
17091,Coronary Heart Disease
29443,Heart Failure
34221,Heart Failure
22451,Heart Failure
22902,Heart Failure
33366,Heart Failure
11303,Acute Myocardial Infarction (Heart Attack)
42033,Stroke
20621,Heart Failure
8906,Diseases of the Heart (Heart Disease)
41701,Stroke
1138,Major Cardiovascular Disease
40927,Stroke
32279,Heart Failure
9768,Diseases of the Heart (Heart Disease)
42000,Stroke
32820,Heart Failure
9277,Acute Myocardial Infarction (Heart Attack)
18972,Heart Failure
22798,Heart Failure
7292,Diseases of the Heart (Heart Disease)
24282,Heart Failure
36517,Heart Failure
40111,Stroke
37170,Heart Failure
42352,Stroke
7615,Diseases of the Heart (Heart Disease)
25317,Heart Failure
26459,Heart Failure
26145,Heart Failure
27662,Heart Failure
36539,Heart Failure
17123,Coronary Heart Disease
6551,Diseases of the Heart (Heart Disease)
13112,Acute Myocardial Infarction (Heart Attack)
39922,Stroke
8190,Diseases of the Heart (Heart Disease)
40750,Stroke
33410,Heart Failure
8310,Diseases of the Heart (Heart Disease)
18887,Heart Failure
2399,Major Cardiovascular Disease
3985,Major Cardiovascular Disease
22797,Heart Failure
29375,Heart Failure
12116,Acute Myocardial Infarction (Heart Attack)
10303,Acute Myocardial Infarction (Heart Attack)
15591,Coronary Heart Disease
8606,Diseases of the Heart (Heart Disease)
16345,Coronary Heart Disease
26836,Heart Failure
10207,Diseases of the Heart (Heart Disease)
4714,Major Cardiovascular Disease
1983,Major Cardiovascular Disease
4509,Diseases of the Heart (Heart Disease)
5950,Diseases of the Heart (Heart Disease)
33945,Heart Failure
37546,Heart Failure
37744,Heart Failure
662,Major Cardiovascular Disease
19626,Coronary Heart Disease
30531,Heart Failure
40921,Stroke
39130,Stroke
36554,Stroke
12691,Acute Myocardial Infarction (Heart Attack)
41784,Stroke
19293,Coronary Heart Disease
32661,Heart Failure
34490,Heart Failure
32428,Heart Failure
10163,Acute Myocardial Infarction (Heart Attack)
35636,Heart Failure
32442,Heart Failure
41057,Stroke
38678,Stroke
19835,Heart Failure
34589,Heart Failure
6489,Diseases of the Heart (Heart Disease)
34565,Heart Failure
24846,Heart Failure
