,Year,LocationDesc,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,GeoLocation
3335,2012,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.5,21.5,21.3,21.7,Race,Hispanic,
3344,2008,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.8,23.8,23.8,23.8,Race,Non-Hispanic White,
3382,2010,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.1,23.1,23.1,23.1,Race,Non-Hispanic White,
3417,2009,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.4,23.4,23.4,23.5,Race,Non-Hispanic White,
3554,2010,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),25.9,25.9,25.9,26.0,Gender,Male,
3592,2012,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.5,23.5,23.4,23.5,Race,Non-Hispanic Black,
3598,2011,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.8,21.8,21.7,21.8,Age,65+,
3629,2009,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.9,23.9,23.9,24.0,Age,75+,
3736,2008,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),26.8,26.8,26.8,26.9,Gender,Male,
3738,2008,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),24.2,24.2,24.1,24.2,Race,Non-Hispanic Black,
3784,2012,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.9,21.9,21.8,22.1,Race,Other,
3823,2011,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.7,22.7,22.6,22.7,Race,Non-Hispanic White,
3954,2009,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.6,22.6,22.4,22.7,Race,Other,
4042,2010,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.6,23.6,23.6,23.7,Age,75+,
4093,2008,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.7,22.7,22.5,22.9,Race,Hispanic,
4100,2012,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.7,20.7,20.6,20.7,Gender,Female,
4208,2011,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.7,20.7,20.7,20.7,Gender,Female,
4237,2008,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.5,21.5,21.5,21.5,Gender,Female,
4248,2010,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.6,22.6,22.4,22.7,Race,Other,
4343,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.3,21.3,21.2,21.3,Age,65+,
4466,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.6,18.6,18.5,18.7,Race,Non-Hispanic Black,
4623,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.4,19.4,19.3,19.6,Race,Other,
4697,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.3,18.3,18.3,18.4,Race,Non-Hispanic Black,
4723,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.8,19.8,19.7,19.8,Age,65+,
4752,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.6,20.6,20.5,20.6,Age,75+,
4793,2005,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.5,6.5,6.5,6.6,Age,75+,
4796,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.5,18.5,18.4,18.7,Race,Other,
4884,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.0,19.0,18.8,19.1,Race,Hispanic,
4900,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.4,23.4,23.4,23.4,Age,75+,
4907,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.1,22.1,22.0,22.1,Gender,Male,
5080,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.5,19.5,19.5,19.5,Race,Non-Hispanic White,
5180,2005,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.7,4.7,4.7,4.7,Age,65+,
5203,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.1,20.1,20.0,20.3,Race,Hispanic,
5387,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),17.7,17.7,17.6,17.7,Gender,Female,
5531,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.5,23.5,23.5,23.6,Gender,Male,
5572,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.4,19.4,19.3,19.4,Age,75+,
5611,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.5,22.5,22.4,22.5,Race,Non-Hispanic White,
5717,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.1,18.1,18.0,18.3,Race,Other,
5764,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.9,19.9,19.9,20.0,Race,Non-Hispanic White,
5817,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.3,19.3,19.2,19.3,Race,Non-Hispanic Black,
5832,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.2,19.2,19.2,19.3,Age,65+,
5896,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),22.6,22.6,22.6,22.6,Gender,Male,
5909,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.9,21.9,21.8,22.1,Race,Other,
6033,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),25.1,25.1,25.1,25.1,Gender,Male,
6074,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),23.5,23.5,23.4,23.5,Race,Non-Hispanic Black,
6186,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.5,18.5,18.5,18.5,Gender,Female,
6221,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.1,18.1,18.0,18.3,Race,Hispanic,
6231,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.7,20.7,20.6,20.7,Age,65+,
6238,2004,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.8,20.8,20.8,20.8,Race,Non-Hispanic White,
6255,2005,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),19.7,19.7,19.7,19.8,Age,75+,
6416,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),21.4,21.4,21.2,21.5,Race,Hispanic,
6461,2006,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),17.3,17.3,17.3,17.3,Gender,Female,
6478,2013,United States,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),20.5,20.5,20.5,20.6,Gender,Female,
6559,2011,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),15.7,15.7,15.6,15.8,Race,Other,
6560,2011,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),15.3,15.3,15.3,15.3,Gender,Female,
6640,2010,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),16.7,16.7,16.6,16.7,Race,Non-Hispanic Black,
6658,2008,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),16.8,16.8,16.7,17.0,Race,Hispanic,
6685,2011,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),16.2,16.2,16.1,16.3,Race,Non-Hispanic Black,
